n,vDP,tDP,vGreedy,tGreedy,%
100,900,0.0009984970092773438,900,0.0,100.0
200,599,0.0019986629486083984,599,0.0,100.0
300,2700,0.004543781280517578,2700,0.001997232437133789,100.0
400,1600,0.0060193538665771484,1600,0.0043659210205078125,100.0
500,4000,0.01255035400390625,4000,0.0055315494537353516,100.0
600,3000,0.017541170120239258,3000,0.00837254524230957,100.0
700,4200,0.027034282684326172,4200,0.01251363754272461,100.0
800,8000,0.03298234939575195,8000,0.015439748764038086,100.0
900,2700,0.04287362098693848,2700,0.021697521209716797,100.0
1000,7000,0.05381417274475098,7000,0.025645017623901367,100.0
1100,5500,0.06406474113464355,5500,0.01553487777709961,100.0
1200,6000,0.07906460762023926,6000,0.036113739013671875,100.0
1300,11700,0.09557223320007324,11700,0.04431438446044922,100.0
1400,5600,0.10901427268981934,5600,0.05113863945007324,100.0
1500,15000,0.12867236137390137,15000,0.05846405029296875,100.0
1600,8000,0.1473233699798584,8000,0.032532453536987305,100.0
1700,5100,0.15612530708312988,5100,0.08063626289367676,100.0
1800,12600,0.18033742904663086,12600,0.08661746978759766,100.0
1900,5699,0.204756498336792,5699,0.03255057334899902,100.0
2000,20000,0.22347354888916016,20000,0.10467123985290527,100.0
